,FILE_NAME,JOB_CLASS_TITLE,JOB_CLASS_NO,JOB_DUTIES,EDUCATION_YEARS,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EXP_JOB_CLASS_TITLE,COURSE_COUNT,COURSE_LENGTH,COURSE_SUBJECT,DRIVERS_LICENSE_REQ,EXAM_TYPE,ENTRY_SALARY,OPEN_DATE,REQUIREMENT_SET_TEXT
200,ELECTRICAL MECHANIC 3841 012017.txt,ELECTRICAL MECHANIC		,3841,"An Electrical Mechanic performs skilled mechanical and electrical work in the installation and maintenance of high and low voltage electrical circuits and related equipment at electrical stations and plants such as electrical substations; receiving, distributing, and customer stations; steam generating stations; water pumping and chlorinating stations; converter stations; hydro-electric plants; high voltage switching stations; and similar facilities and buildings; and performs other related duties. Electrical Mechanics may work at heights of up to 280 feet, near hazardous materials, and in confined spaces.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$69,655-$99,514",01-20-17,
201,ELECTRICAL MECHANIC SUPERVISOR 3835 072216 REVISED 080416.txt,ELECTRICAL MECHANIC SUPERVISOR,3835,"An Electrical Mechanic Supervisor assigns, reviews, and evaluates the work of electrical mechanics and helpers engaged in the installation, renovation, maintenance, and repair of electric equipment in electric stations, generating stations, power plants, pumping stations, water treatment facilities, water wells, High Voltage Direct Current (HVDC) converter stations, and similar locations; uses personal computer and related software programs to assign and track the work of subordinate staff; applies sound supervisory techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$96,277-$119,621",07-22-16,
202,ELECTRICAL REPAIR SUPERVISOR 3855 092217 (7).txt,ELECTRICAL REPAIR SUPERVISOR,3855,"An Electrical Repair Supervisor assigns, reviews and evaluates the work of a group of Electrical Repairers, helpers, and trainees engaged in a variety of skilled electrical rewinding, repairing, rebuilding, assembling, troubleshooting, maintenance and rigging work in a shop and in the field; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$115,570-$122,022",09-22-17,
203,ELECTRICAL REPAIRER 3853 122917 updated.txt,ELECTRICAL REPAIRER,3853,"An entry-level Electrical Repairer works as a trainee under close supervision of journey-level workers in both the shop and the field in the maintenance, overhauling, dismantling, repairing, rebuilding, rewinding, cleaning, reassembling, and installing of electrical equipment and components within the Water and Power systems. Trainees receive extensive classroom training as well as on the job training. A journey-level Electrical Repairer performs a variety of skilled electrical rewinding, repairing, rebuilding, assembling, troubleshooting, maintenance and rigging work in the shop and field; and may lead a group of employees performing electrical repair work in shop and field locations.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$74,332-$95,567",12-29-17,
204,ELECTRICAL SERVICE WORKER 3825 090916.txt,ELECTRICAL SERVICE WORKER,3825,"An Electrical Service Worker responds to customer electrical trouble calls and does skilled work in diagnosing and locating trouble, making minor repairs to provide temporary service where major repairs are required, replacing noisy service meters, or installing unmetered services.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$63,579-$78,989",09-09-16,
205,ELECTRICAL SERVICES MANAGER 092818 REV 100118.txt,ELECTRICAL SERVICES MANAGER,5265,"An Electrical Services Manager plans, directs, organizes, and reviews through subordinate supervisors, the design, construction, operation, repair, and maintenance of major electrical facilities, underground and overhead electric transmission and distribution systems, hydroelectric power plants, DC converter stations, steam/thermal-electric generating plants, renewable energy power plants, including energy storage facilities and the load dispatching operations for the Department of Water and Power; plans, organizes, and directs through subordinate supervisors, the development, review, implementation and management of training and safety programs; directs activities for a group/section or a large division within the Department of Water and Power; applies sound supervisory and management principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",,,,,,,,,,,INTERDEPARTMENTAL PROMOTIONAL,"$164,764-$204,707",09-28-18,
206,ELECTRICAL TESTER 7512 102816.txt,ELECTRICAL TESTER   	,7512,"An entry-level Electrical Tester receives intensive classroom and on-the-job instruction and training. The trainee is supervised by a Senior Electrical Tester and works as a trainee assisting journey-level electrical workers within the Testing Laboratories in the performance of diagnostic tests, calibration, repair, maintenance, and adjustments on: high and low voltage electrical circuits, equipment and related material; meters, smart-grid systems, conventional and renewable generation resources, control circuits, instruments, relays and related equipment and materials; new locations; and performs related duties. A journey-level Electrical Tester: performs routine calibration tests of meters; makes routine electrical tests of material; assists in testing more complex electric instruments and equipment; tests and replaces electric meters, control and protective relays, instruments, transformers, and other equipment and materials; performs cathodic protection in underground and abovehead structures; performs infrared inspection of high voltage overhead distribution systems; and builds and test circuit boards, removes or replaces components, and tests communication levels, in regard to facility/substation Supervisory Control and Data Acquisition (SCADA) systems, Remote Terminal Units (RTU), and other control systems. Journey-level Electrical Testers may also: lead a group of employees engaged in field or laboratory electrical testing; perform the more difficult and advanced functions of electrical testing; and perform related duties.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$54,079-$67,170",10-28-16,
207,ELECTRICIAN 3863 101317.txt,ELECTRICIAN,3863,"An Electrician does skilled electrical work in the installation, maintenance, and repair of wiring, conduits, and electric installations in public buildings and facilities and on adjacent grounds; and troubleshoots electrical circuits.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$88,218 (flat-rated)",10-13-17,
208,ELECTRICIAN SUPERVISOR 3865 091616  REV 092916.txt,ELECTRICIAN SUPERVISOR,3865,"An Electrician Supervisor plans, organizes, and directs the work of a group of Senior Electricians, Electricians, and other employees engaged in general electrical installation, maintenance, and repair work including motors and lighting, intercom, fire alarm systems, sound and surveillance systems; may evaluate lighting or other electrical systems and make estimates for installation or alteration of electrical facilities; uses computers to track expenses and work orders; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$99,347 (flat-rated)",09-16-16,
209,ELEVATOR MECHANIC 3866 012717 REV 080718.txt,ELEVATOR MECHANIC,3866,"An Elevator Mechanic does skilled electrical, electronic, mechanical, and hydraulic work in the maintenance and repair of passenger and freight elevators, escalators, and other vertical and horizontal transportation equipment, and their related equipment.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$100,866 (flat-rated)",01-27-17,
210,ELEVATOR MECHANIC HELPER 3860 071417.txt,ELEVATOR MECHANIC HELPER,3860,"An Elevator Mechanic Helper helps journey-level elevator mechanics by doing semiskilled electrical and mechanical work in the maintenance and repair of passenger and freight elevators, escalators, and their appurtenant equipment.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$68,883 (flat-rated)",07-14-17,
211,ELEVATOR REPAIR SUPERVISOR 032516 REVISED 040516.txt,ELEVATOR REPAIR SUPERVISOR,3869,"An Elevator Repair Supervisor assigns, reviews, and evaluates the work of Elevator Mechanics and other employees engaged in the maintenance and repair of passenger and freight elevators, escalators, moving walkways, and their appurtenant equipment; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$103,001-$107,636",03-25-16,
212,EMERGENCY MANAGEMENT COORDINATOR 1702 102618.txt,EMERGENCY MANAGEMENT COORDINATOR,1702,"An Emergency Management Coordinator is responsible for developing, coordinating, implementing, and administering comprehensive emergency management programs including disaster preparedness, response, recovery, and mitigation Citywide or for individual City departments, including developing and maintaining emergency response and continuity of operations plans, standard operating procedures, and related training programs, exercises and drills; performs community education and outreach programs on disaster preparedness and planning; works with other City departments, governmental and private agencies, and community based organizations to develop and implement emergency management programs for the City of Los Angeles; analyzes and prepares comprehensive reports, research, recommendations, and correspondence for their assigned department or other administrative bodies as directed; may be assigned emergency response roles in various locations; and may supervise other Emergency Management Coordinators, City employees in other classifications, and/or volunteers involved in emergency management work.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$82,789-$121,020",10-26-18,
213,EMERGENCY MEDICAL SERVICES EDUCATOR  2322 110615 REV 112515.txt,EMERGENCY MEDICAL SERVICES (EMS) EDUCATOR,2322,Conducts formal classroom training for Fire Department personnel in pre-hospital care emergency services subjects; and does related work.,,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$77,715-$104,734",11-06-15,
214,EMS ADVANCED PROVIDER 2341 111618 REV 122018.txt,EMS ADVANCED PROVIDER,2341,"An EMS Advanced Provider provides scheduled and unscheduled non-emergent direct patient care to the ill and injured within the pre-hospital setting. The EMS Advanced Provider may act as lead worker to staff involved in the pre-hospital care delivered through the Advanced Provider Response Unit (APRU), which is the Los Angeles Fire Department's (LAFD) alternate service delivery model to render mobile integrated healthcare. The EMS Advanced Provider provides medical treatment which includes obtaining patient histories, administering and prescribing medication, conducting diagnostic tests, performing routine medical procedures and consulting with other social services and healthcare professionals. The EMS Advanced Provider may provide secondary caller interrogation for specifically designated low acuity calls in the Metropolitan Fire Communications (MFC) 911 dispatch center.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$83,645-$122,273",11-16-18,
215,EMS NURSE PRACTITIONER SUPERVISOR 2340 031116 REV 032316 (1).txt,EMS NURSE PRACTITIONER SUPERVISOR,2340,"Provides and supervises staff involved in non-emergent direct patient care to the ill and injured within the pre-hospital setting; oversees care delivered through the Nurse Practitioner Response Unit (NPRU), which is the Los Angeles Fire Department's alternate service delivery model to render mobile integrated healthcare, and is responsible for the daily management and maintenance of the NPRU; provides medical treatment which includes obtaining patient histories, administering and prescribing medication, conducting diagnostic tests, performing routine medical procedures and consulting with other social services and healthcare professionals; and does related work.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$93,083-$136,074",03-11-16,
216,ENGINEER OF FIRE DEPARTMENT 2131 111116.txt,ENGINEER OF FIRE DEPARTMENT,2131,,,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$91,955-$108,283",11-11-16,
217,ENGINEER OF SURVEYS 9486 101615.txt,ENGINEER OF SURVEYS	,9486,"The Engineer of Surveys performs responsible administrative work as the head of the Survey Division of the Bureau of Engineering, and directs personnel engaged in preliminary, topographic, hydrographic, property, construction and geodetic surveying.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$127,347-$171,612",10-16-15,
218,ENGINEERING DESIGNER 7217 082517 REV 090717.txt,ENGINEERING DESIGNER,7217,"An Engineering Designer does specialized engineering design work in connection with the preparation of plans, designs, details and estimates for water supply and distribution structures, water pump stations, pipelines and facilities, streets, sewers, wastewater and groundwater treatment facilities, bridges, earth retaining structures, storm drains, stormwater pollution abatement facilities, street lighting systems, electrical power distribution systems, automated control systems, traffic systems, airport facilities, projects involving right-of-way and legal descriptions, or other construction projects.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$60,385-$88,260",08-25-17,
219,ENGINEERING GEOLOGIST 7255 022318.txt,ENGINEERING GEOLOGIST,7255,"An Engineering Geologist conducts or supervises the preparation of engineering geological studies and reports; reviews for acceptability professional reports on engineering geological studies relating to earth movement, landslides, the design and construction of tracts, dams, reservoirs, tank sites, buildings, streets and highways, tunnels, electric power generating plants, transmission towers, distributing stations and other structures; classifies rock and soil samples; investigates and mitigates soil and groundwater contamination; investigates water-bearing strata, soil gases, geologic hazards including methane, fuel supply sources and technical aspects of legal questions; applies sound supervisory principles and techniques in building and maintaining an effective work force.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$94,857-$138,643",02-23-18,
220,ENGINEERING GEOLOGIST ASSOCIATE 7253 082517.txt,ENGINEERING GEOLOGIST ASSOCIATE,7253,"An Engineering Geologist Associate performs professional engineering geological investigations and studies in connection with the design and construction of tracts, dams, reservoirs, tank sites, buildings, streets and highways, tunnels, electric power generating plants, transmission towers, distributing stations and other structures; makes precise geological maps; classifies rock and soil samples; investigates water-bearing strata and geothermal prospects, geologic hazards including landslides, and technical aspects of legal questions; applies geologic principles to evaluate underground conditions and environmental aspects of sites and the cleanup of underground contamination; and applies hydrogeologic principles to characterize groundwater and hydrogeologic conditions of sites.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$66,231-$94,252",08-25-17,
221,ENVIRONMENTAL AFFAIRS OFFICER 7320 061518.txt,ENVIRONMENTAL AFFAIRS OFFICER,7320,"An Environmental Affairs Officer plans, organizes and directs the work of a group of subordinate supervisors, professional employees, and/or consultants engaged in environmental affairs, such as California Environmental Quality Act compliance, noise, renewable energy, climate change, and sustainability, air and water quality, water, natural and cultural resources management, hazardous substance and solid waste management, wastewater and storm water management, resource recycling and pollution prevention, site assessment and remediation, methods, controls, and technologies to mitigate pollution and other environmental impacts; reviews proposed environmental regulation, legislation, and policies, and ensures that the City and its operations are complying with applicable environmental laws and regulations; may act for upper management on environmental management issues in their absence; applies sound supervisory principles and techniques in building an effective work force; and fulfills supervisory safety and equal employment opportunity responsibilities.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$101,664-$148,665",06-15-18,
222,ENVIRONMENTAL COMPLIANCE INSPECTOR 4292 080516 REV 081616.txt,ENVIRONMENTAL COMPLIANCE INSPECTOR,4292,"An Environmental Compliance Inspector monitors and investigates environmental compliance which may include illicit discharges and illicit connections, and performs field tests of harmful liquids, gases and solids found in the public right-of-way, storm drain system, waterways, and receiving waters; performs health hazard determinations of materials and substances found on public property or in the public right-of-way; inspects construction site operations and industrial and commercial facilities for conformance with solid resources, stormwater and pretreatment regulations and contract terms; prepares investigation reports for criminal cases and provides court testimony; oversees the remediation of chemical spills and abandoned chemicals; enforces applicable Los Angeles Municipal Code (LAMC), State, and Federal regulations governing proper management and disposal of solid resources, solid and liquid industrial wastes and other discharges to wastewater systems and the environment; conducts inspections of biosolids beneficial use sites to ensure compliance with all applicable regulations and contractual obligations; inspects solid waste facilities, solid waste collection operations, and solid waste hauling companies to ensure compliance with contract requirements, applicable regulations and LAMC provisions; may be required to carry out various duties as a public officer, such as serve warrants, issue citations, and make arrests; and does related work.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$62,661-$91,642",08-05-16,
223,ENVIRONMENTAL ENGINEER  7872 082616 REV 090116.txt,ENVIRONMENTAL ENGINEER ,7872,"An Environmental Engineer performs responsible professional engineering work and supervises employees involved in water supply and water quality control activities, and in the planning, design, construction, maintenance, operation and implementation of technologies related to solid waste, industrial waste, water, stormwater, recycled water, and wastewater conveyance, storage and treatment facilities. Prepares, evaluates, and administers Request for Qualifications, Requests for Proposals, and Request for Bids for a variety of environmental engineering projects; may act as project manager over one or more projects; directs various environmental engineering studies, tests and research activities; evaluates performance of existing environmental engineering facilities and makes recommendations for improvement; directs a variety of solid resources programs including solid waste recycling, clean fuel, zero waste and renewable energy; reviews regulatory ordinances and provides summaries of impacts and recommendations for regulatory compliance; occasionally makes presentations to Board members, elected officials, and the public; applies sound supervisory principles and techniques in building and maintaining an effective work force and in fulfilling equal employment responsibilities; and does related work.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$89,637-$127,555",08-26-16,
224,ENVIRONMENTAL ENGINEERING ASSOCIATE  7871 020113 REV 032916.txt,CAMPUS INTERVIEWS ONLY,7871,"An Environmental Engineering Associate performs professional engineering work in connection with water supply, water quality control, solid waste and wastewater collection, disposal and treatment, and ionizing radiation; conducts engineering, planning and research studies in connection with water and solid resources related activities; coordinates construction and operations of water and wastewater treatment and solid waste facilities; and does related work.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$64,916-$92,394",02-01-13,
225,ENVIRONMENTAL SPECIALIST 7310 012916.txt,ENVIRONMENTAL SPECIALIST,7310,"An Environmental Specialist plans, performs, reviews, and analyzes environmental studies, reports, and proposals to determine their environmental and policy impacts on the City; conducts studies which may require collection and evaluation of field and laboratory data to determine the environmental impacts from the storage, handling, or release of solid waste and hazardous materials; conducts noise measurements to assess impacts and enforces noise abatement policies; conducts environmental compliance inspections and enforcement procedures as necessary; coordinates and implements environmental compliance, remediation and enhancement projects and programs; makes recommendations in accordance with established environmental policy and relevant technical information; oversees environmental consultant activities and services; reviews, analyzes and/or prepares California Environmental Quality Act (CEQA), National Environmental Policy Act (NEPA), and Safe Drinking Water Act (SDWA) documents, various environmental permits, and grant applications; conducts outreach and education on environmental issues; works with other public agencies and the community, and may act as a technical team leader.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$60,281-$85,796",01-29-16,
226,ENVIRONMENTAL SUPERVISOR 7304 052518 (1).txt,ENVIRONMENTAL SUPERVISOR,7304,"An Environmental Supervisor assigns, reviews and evaluates the work of professional personnel and/or consultants engaged in the analysis, review, investigation, study and implementation of environmental policies, regulations, legislation and programs; personally performs the more difficult, technical and/or sensitive assignments; prepares environmental documents; manages large environmental and natural resources projects and programs including regulatory compliance programs and grant funded projects; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$82,496-$120,582",05-25-18,
227,EQUIPMENT MECHANIC 3711 051818.txt,EQUIPMENT MECHANIC (Automotive Mechanic),3711,An Equipment Mechanic does skilled mechanical work in the maintenance and repair of automotive transportation equipment and inspects such equipment to determine needed repairs.,,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$78,675 (flat-rated)",05-18-18,
228,EQUIPMENT OPERATOR 3525 041417 REV 042717.txt,EQUIPMENT OPERATOR,3525,"An Equipment Operator operates tractors, tandem graders, rollers, scrapers, backhoes, track and wheel loaders, hydro and rigid boom cranes, grinders, trommel screens, compost turners, profilers, pavers, and other construction and maintenance equipment. This equipment is used in weed abatement programs, compost and mulch facilities, construction, repair and maintenance of sidewalks, access ramps, streetscape installations, streets, roads, sewers, storm drains, canals, and water and power infrastructures; compacts soil and debris at refuse disposal sites; makes running repairs and adjustments to equipment; and may lubricate equipment and assist crew members on job site.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$90,201-$97,551",04-14-17,
229,EQUIPMENT REPAIR SUPERVISOR 3746 012717.txt,EQUIPMENT REPAIR SUPERVISOR,3746,"An Equipment Repair Supervisor supervises the work of senior and journey-level workers and helpers engaged in the servicing, maintenance, and repair of street maintenance, construction, fire fighting, marine and marine accessory, transportation and related equipment; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$94,523 (flat-rated)",01-27-17,
230,EQUIPMENT SPECIALIST 3734 111717 revised 11.21.txt,EQUIPMENT SPECIALIST,3734,"An Equipment Specialist determines departmental equipment needs; prepares specifications; inspects equipment received from vendors; makes recommendations in connection with the purchase, operation, and maintenance of a wide variety of transportation, construction, fire, recreation, and park maintenance equipment; or participates in and supervises such work; and does related work.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$62,744-$91,746",11-17-17,
231,EQUIPMENT SUPERINTENDENT 3750 121914.txt,EQUIPMENT SUPERINTENDENT,3750,An Equipment Superintendent directs the activities of a major transportation and construction equipment maintenance and repair division.,,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$107,385-$133,423",12-19-14,
232,EQUIPMENT SUPERVISOR 3527 041318.txt,EQUIPMENT SUPERVISOR,3527,"An Equipment Supervisor assigns, reviews and evaluates the work of employees engaged in the operation of construction equipment when excavating, backfilling, loading, compacting, mixing and moving earth and other materials on construction, maintenance, composting, mulching or landfill monitoring projects; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$84,918-$99,931",04-13-18,
233,EXAMINER OF QUESTIONED DOCUMENTS 3229 120415.txt,EXAMINER OF QUESTIONED DOCUMENTS,3229,"An Examiner of Questioned Documents determines the authenticity of documents, including any alterations, additions, or deletions; identifies or eliminates persons as the source of handwriting; obtains handwriting exemplars from suspected writers; detects multiple writing instruments; and presents expert testimony in court. NOTES: 1. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer. 2. Paygrade I is for trainees. Trainees will receive intensive on-the-job and formal training as an Examiner of Questioned Documents. An Examiner of Questioned Documents appointed to paygrade I must qualify for appointment to paygrade II within three years of employment by successful completion of the training program.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$45,956-$67,191",12-04-15,
234,EXECUTIVE ADMINISTRATIVE ASSISTANT 1117 083118.txt,EXECUTIVE ADMINISTRATIVE ASSISTANT,1117,"An Executive Administrative Assistant reports directly to an executive position at least at the level of an Assistant General Manager; performs administrative support functions which allows the manager or executive to focus on executive level responsibilities; performs highly specialized and responsible secretarial and, on occasion, stenographic work in an executive office or bureau; and performs other duties as assigned.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$60,656-$88,698",08-31-18,
235,EXECUTIVE ASSISTANT AIRPORTS 9186 060917 (1).txt,EXECUTIVE ASSISTANT AIRPORTS,9186,"Under the general direction of the General Manager Airports or Deputy General Manager Airports, an Executive Assistant Airports acts as a project manager for special projects or programs; assists in executive and administrative matters; represents the Department before City officials, and other agencies; may act as the executive liaison between the Board of Airport Commissioners and executive management; and does related work.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$129,873-$184,788",06-09-17,
236,EXHIBIT PREPARATOR 2444 062416.txt,EXHIBIT PREPARATOR,2444,"Under general supervision, an Exhibit Preparator assigns, reviews and evaluates the work of employees engaged in the construction and installation of exhibits at a gallery or exhibit facility and personally performs the more complicated design, production and installation work; applies sound supervisory principles and techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities; and does related work.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$42,595-$62,285",06-24-16,
237,f.txt,,,,,,,,,,,,,,INTERDEPARTMENTAL PROMOTIONAL,,,
238,FIELD ENGINEERING AIDE 7228 092316 REV 080718 (2).txt,FIELD ENGINEERING AIDE,7228,"A Field Engineering Aide performs sub-professional land surveying work or works with engineering personnel. A Field Engineering Aide may be required to climb fences, work in confined spaces, work with and around hot asphalt, and carry surveying equipment long distances over various types of terrain; also may be trained to operate Data Collectors, and to set up and operate GPS receivers.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$71,451-$91,224",09-23-16,
239,FINANCIAL ANALYST 1549 020218.txt,FINANCIAL ANALYST,1549,"A Financial Analyst analyzes proposals for contracts, leases and franchises; prepares, evaluates, and creates financial models and documents; evaluates and summarizes in writing financial and statistical reports; assists with planning, monitoring, administering and managing debt; and does related work.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$68,159-$100,370",02-02-18,
240,FINANCIAL DEVELOPMENT OFFICER 1571 102017 revised.txt,FINANCIAL DEVELOPMENT OFFICER,1571,"A Financial Development Officer develops, secures, analyzes, and recommends financing for the development and preservation of affordable housing projects, including acquisition, new construction, rehabilitation, recapitalization and refinancing; reviews and monitors the loan development process and project operations processes; manages a loan portfolio, including resolving delinquencies, supervising or conducting collections and write-offs; provides project management expertise and technical assistance in negotiating the financing of housing projects; recommends housing policies and programs; develops and reviews contracts for approval by department management; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$87,654-$128,140",10-20-17,
241,FINANCIAL MANAGER 1557 070116 Rev.txt,FINANCIAL MANAGER,1557,"A Financial Manager manages, or assists in managing, financial administration and planning or accounting activities of the City Departments having control over their own funds; analyzes and makes recommendations on significant financial matters; participates in the development of business management reporting, accounting, or cash flow projection systems; applies sound supervisory principles and techniques in building and maintaining an effective workforce; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$87,361-$127,702",07-01-16,
242,FINGERPRINT IDENTIFICATION EXPERT 1157 052915.txt,FINGERPRINT IDENTIFICATION EXPERT	  ,1157,"A Fingerprint Identification Expert uses fingerprint identification systems in classifying fingerprints; compares and identifies fingerprint documents; testifies regarding fingerprint results; processes booking record transactions in fingerprint identification system; conducts fingerprint searches for identification purposes; or may supervise such work. Fingerprint Identification Experts may be required to work on the day, evening, or morning shifts.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$50,153-$62,305",05-29-15,
243,FIRE ASSISTANT CHIEF 2166 011218.txt,FIRE ASSISTANT CHIEF,2166,,,,,,,,,,,,INTERDEPARTMENTAL PROMOTIONAL,"$175,141-$206,148",01-12-18,
244,FIRE BATTALION CHIEF 2152 030918.txt,FIRE BATTALION CHIEF,2152,,,,,,,,,,,,INTERDEPARTMENTAL PROMOTIONAL,"$145,909-$171,800",3-09-18,
245,FIRE CAPTAIN 2142 033018.txt,FIRE CAPTAIN,2142,"A Fire Captain commands a fire company, task force, or unit involved in fire suppression, fire prevention, arson investigation, communications, training, helicopter and tractor operations, maintenance of rescue equipment, or occupational safety and health activities; may supervise Emergency Medical Service (EMS) activities and personnel within an EMS District; or performs specialized staff work such as planning, community relations, or serving as a liaison officer.",,,,,,,,,,,INTERDEPARTMENTAL PROMOTIONAL,"$119,016-$132,650",03-30-18,
246,FIRE HELICOPTER PILOT 3563 081415 REV. 081815.txt,FIRE HELICOPTER PILOT,3563,,,,,,,,,,,,INTERDEPARTMENTAL PROMOTIONAL,"$88,426-$104,128",08-14-15,
247,FIRE INSPECTOR 2128 031717.txt,FIRE INSPECTOR,2128,,,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$102,520-$114,380",03-17-17,
248,FIRE PROTECTION ENGINEERING ASSOCIATE 7978 041318.txt,FIRE PROTECTION ENGINEERING ASSOCIATE,7978,"A Fire Protection Engineering Associate performs professional engineering work in the application of engineering principles to problems of safeguarding life and property against loss from fire, explosions and related hazards; applies state and local regulations to guard against hazardous material and toxic chemical releases; conducts fire and life safety reviews of building plans and field inspections for new construction projects.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$66,231-$96,841",04-13-18,
249,FIRE SPECIAL INVESTIGATOR 021216.txt,FIRE SPECIAL INVESTIGATOR,1632,"A Fire Special Investigator conducts and/or participates in personnel and administrative investigations into allegations of misconduct by Fire Department employees both sworn and civilian which potentially involve violations(s) of Department or City rules, regulations, policies, or procedures including state and federal laws, pertaining to EEO complaints, disciplinary matters, charges of discrimination, retaliation, hazing, fraud, waste, corruption, and abuse.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$83,373-$121,897",02-12-16,
250,FIRE SPRINKLER INSPECTOR 4240 062317 REVISED 070617 (2).txt,FIRE SPRINKLER INSPECTOR,4240,"A Fire Sprinkler Inspector inspects fire sprinkler and standpipe installations for conformance to the provisions of pertinent laws, construction specifications, and adopted National Fire Protection Association Standards; and assists in training other inspection employees as required.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$80,283-$97,092",06-23-17,
